브랜드명,총건수,지점명비율,표기변형목록,대표주소예시,판정,판정근거,경계사례
GS25,365,0.83,지에스 25; 지에스25,부산광역시 사하구 다대로429번길 12 (다대동),브랜드,빈도 365·지점비율 83% ≥40% → 브랜드 확정,
CU,257,0.94,씨유,"부산광역시 강서구 명지오션시티11로 51 (명지동, 영어도시 퀸덤1차)",브랜드,빈도 257·지점비율 94% ≥40% → 브랜드 확정,
파리바게뜨,160,0.70,파리 바게트; 파리바게트,부산광역시 사하구 낙동남로 1411 (하단동),브랜드,빈도 160·지점비율 70% ≥40% → 브랜드 확정,
메가커피,107,0.93,메가MGC커피; 메가엠지씨커피,부산광역시 영도구 남항로41번길 1(남항동1가),브랜드,빈도 107·지점비율 93% ≥40% → 브랜드 확정,
컴포즈커피,96,0.89,,부산광역시 사하구 낙동남로1423번길 3 (하단동),브랜드,빈도 96·지점비율 89% ≥40% → 브랜드 확정,
세븐일레븐,95,0.93,,"부산광역시 영도구 동삼오션로 30 (동삼동, 부산 오션시티 푸르지오)",브랜드,빈도 95·지점비율 93% ≥40% → 브랜드 확정,
땅스부대찌개,84,0.54,,부산광역시 사하구 사하로198번길 18 (괴정동),브랜드,빈도 84·지점비율 54% ≥40% → 브랜드 확정,
정관장,84,0.93,,부산광역시 동구 중앙대로 223-1 (초량동),브랜드,빈도 84·지점비율 93% ≥40% → 브랜드 확정,
빽다방,78,0.92,,부산광역시 강서구 명지국제8로 251 (명지동),브랜드,빈도 78·지점비율 92% ≥40% → 브랜드 확정,
배스킨라빈스,75,0.72,베스킨라빈스,부산광역시 사하구 사하로 184 (괴정동),브랜드,빈도 75·지점비율 72% ≥40% → 브랜드 확정,
피자스쿨,63,0.83,,부산광역시 사상구 대동로 94 (학장동),브랜드,빈도 63·지점비율 83% ≥40% → 브랜드 확정,
으뜸50안경,56,0.89,,부산광역시 사하구 낙동남로 1409 (하단동),브랜드,빈도 56·지점비율 89% ≥40% → 브랜드 확정,
BHC,54,0.78,비에이치씨,"부산광역시 강서구 명지오션시티11로 51 (명지동, 영어도시 퀸덤1차)",브랜드,빈도 54·지점비율 78% ≥40% → 브랜드 확정,
더벤티,54,0.91,,부산광역시 수영구 수영로384번길 6 (남천동),브랜드,빈도 54·지점비율 91% ≥40% → 브랜드 확정,
크린토피아,53,0.74,,"부산광역시 강서구 명지오션시티11로 51 (명지동, 영어도시 퀸덤1차)",브랜드,빈도 53·지점비율 74% ≥40% → 브랜드 확정,
이마트24,53,0.94,,부산광역시 사상구 대동로 106 (학장동),브랜드,빈도 53·지점비율 94% ≥40% → 브랜드 확정,
BBQ,47,0.81,비비큐,"부산광역시 영도구 동삼오션로 30 (동삼동, 부산 오션시티 푸르지오)",브랜드,빈도 47·지점비율 81% ≥40% → 브랜드 확정,
아리따움,46,0.76,,부산광역시 영도구 남항로41번길 39(남항동1가),브랜드,빈도 46·지점비율 76% ≥40% → 브랜드 확정,
교촌치킨,42,0.93,,부산광역시 서구 대영로 30 (서대신동1가),브랜드,빈도 42·지점비율 93% ≥40% → 브랜드 확정,
이삭토스트,40,0.65,,부산광역시 동구 중앙대로371번길 20 (수정동),브랜드,빈도 40·지점비율 65% ≥40% → 브랜드 확정,
