브랜드명,총건수,지점명비율,표기변형목록,대표주소예시,판정,판정근거,경계사례
GS25,321,0.83,지에스 25; 지에스25,서울특별시 종로구 계동길 61 (계동),브랜드,빈도 321·지점비율 83% ≥40% → 브랜드 확정,
CU,228,0.94,씨유,서울특별시 종로구 종로 73(종로2가),브랜드,빈도 228·지점비율 94% ≥40% → 브랜드 확정,
파리바게뜨,147,0.71,파리 바게트; 파리바게트,서울특별시 중구 을지로 지하131(을지로3가),브랜드,빈도 147·지점비율 71% ≥40% → 브랜드 확정,
메가커피,103,0.94,메가MGC커피; 메가엠지씨커피,서울특별시 종로구 종로 241-1 (종로5가),브랜드,빈도 103·지점비율 94% ≥40% → 브랜드 확정,
세븐일레븐,88,0.92,,서울특별시 종로구 필운대로 12 (필운동),브랜드,빈도 88·지점비율 92% ≥40% → 브랜드 확정,
컴포즈커피,87,0.89,,서울특별시 중구 다산로 223(신당동),브랜드,빈도 87·지점비율 89% ≥40% → 브랜드 확정,
정관장,75,0.92,,서울특별시 중구 소공로 106(소공동),브랜드,빈도 75·지점비율 92% ≥40% → 브랜드 확정,
빽다방,74,0.91,,서울특별시 종로구 종로 213 (종로5가),브랜드,빈도 74·지점비율 91% ≥40% → 브랜드 확정,
배스킨라빈스,73,0.73,베스킨라빈스,서울특별시 용산구 청파로47길 43 (청파동3가),브랜드,빈도 73·지점비율 73% ≥40% → 브랜드 확정,
땅스부대찌개,70,0.54,,서울특별시 중구 퇴계로86길 18 (신당동),브랜드,빈도 70·지점비율 54% ≥40% → 브랜드 확정,
피자스쿨,59,0.85,,서울특별시 중구 동호로7길 14 (신당동),브랜드,빈도 59·지점비율 85% ≥40% → 브랜드 확정,
으뜸50안경,52,0.87,,서울특별시 중구 퇴계로 433 (황학동),브랜드,빈도 52·지점비율 87% ≥40% → 브랜드 확정,
BHC,52,0.79,비에이치씨,서울특별시 성동구 무학봉길 43 (하왕십리동),브랜드,빈도 52·지점비율 79% ≥40% → 브랜드 확정,
크린토피아,50,0.72,,서울특별시 종로구 평창11길 3 (평창동),브랜드,빈도 50·지점비율 72% ≥40% → 브랜드 확정,
더벤티,46,0.91,,서울특별시 종로구 종로 293 (창신동),브랜드,빈도 46·지점비율 91% ≥40% → 브랜드 확정,
이마트24,45,0.93,,서울특별시 중구 을지로 지하58 (을지로2가),브랜드,빈도 45·지점비율 93% ≥40% → 브랜드 확정,
BBQ,45,0.80,비비큐,서울특별시 성북구 장월로1길 107 (하월곡동),브랜드,빈도 45·지점비율 80% ≥40% → 브랜드 확정,
이삭토스트,39,0.64,,서울특별시 광진구 아차산로30길 8 (자양동),브랜드,빈도 39·지점비율 64% ≥40% → 브랜드 확정,
교촌치킨,37,0.95,,서울특별시 중구 다산로42나길 46(신당동),브랜드,빈도 37·지점비율 95% ≥40% → 브랜드 확정,
아리따움,36,0.67,,서울특별시 동대문구 경희대로 22 (회기동),브랜드,빈도 36·지점비율 67% ≥40% → 브랜드 확정,
본죽&비빔밥,32,0.81,,서울특별시 광진구 능동로 95 (자양동),브랜드,빈도 32·지점비율 81% ≥40% → 브랜드 확정,
이디야,31,0.42,,서울특별시 용산구 원효로41길 73(원효로2가),브랜드,빈도 31·지점비율 42% ≥40% → 브랜드 확정,Y
오렌즈,30,0.83,,서울특별시 중구 남대문로 지하72(남대문로2가),브랜드,빈도 30·지점비율 83% ≥40% → 브랜드 확정,
굽네치킨,29,0.76,,서울특별시 용산구 청파로47길 17 (청파동3가),브랜드,빈도 29·지점비율 76% ≥40% → 브랜드 확정,
맘스터치,29,0.83,,서울특별시 노원구 석계로1길 18 (월계동),브랜드,빈도 29·지점비율 83% ≥40% → 브랜드 확정,
자담치킨,27,0.63,,서울특별시 중랑구 봉화산로56길 86 (신내동),브랜드,빈도 27·지점비율 63% ≥40% → 브랜드 확정,
가장맛있는족발,26,0.58,,서울특별시 종로구 사직로 103-4(내자동),브랜드,빈도 26·지점비율 58% ≥40% → 브랜드 확정,
노랑통닭,26,0.73,,서울특별시 강북구 솔매로 88 (미아동),브랜드,빈도 26·지점비율 73% ≥40% → 브랜드 확정,
이브자리,25,0.52,,서울특별시 종로구 창경궁로 88(예지동),브랜드,빈도 25·지점비율 52% ≥40% → 브랜드 확정,
뚜레쥬르,25,0.52,,서울특별시 중구 을지로 지하131(을지로3가),브랜드,빈도 25·지점비율 52% ≥40% → 브랜드 확정,
리안헤어,25,0.68,,서울특별시 광진구 능동로 18 (자양동),브랜드,빈도 25·지점비율 68% ≥40% → 브랜드 확정,
피자마루,24,0.62,,서울특별시 중구 동호로7길 37 (신당동),브랜드,빈도 24·지점비율 62% ≥40% → 브랜드 확정,
올리비아로렌,24,0.54,,서울특별시 중구 퇴계로 427-2 (황학동),브랜드,빈도 24·지점비율 54% ≥40% → 브랜드 확정,
비와이씨,24,0.71,,서울특별시 용산구 효창원로 270 (서계동),브랜드,빈도 24·지점비율 71% ≥40% → 브랜드 확정,
등촌샤브칼국수,24,0.71,,서울특별시 용산구 새창로 114-3 (용문동),브랜드,빈도 24·지점비율 71% ≥40% → 브랜드 확정,
신전떡볶이,23,0.83,,서울특별시 용산구 효창원로 24 (산천동),브랜드,빈도 23·지점비율 83% ≥40% → 브랜드 확정,
샐러디,22,1.00,,서울특별시 용산구 청파로47길 66 (청파동2가),브랜드,빈도 22·지점비율 100% ≥40% → 브랜드 확정,
보드람치킨,22,0.50,,서울특별시 동대문구 회기로13길 9 (회기동),브랜드,빈도 22·지점비율 50% ≥40% → 브랜드 확정,
두찜,21,1.00,,서울특별시 성동구 독서당로 303-10(금호동3가),브랜드,빈도 21·지점비율 100% ≥40% → 브랜드 확정,
렌즈미,20,0.55,,서울특별시 중구 남대문로 지하72(남대문로2가),브랜드,빈도 20·지점비율 55% ≥40% → 브랜드 확정,
육회바른연어,20,0.90,,서울특별시 성동구 용답19길 12-1 (용답동),브랜드,빈도 20·지점비율 90% ≥40% → 브랜드 확정,
베이비하우스,20,0.75,,서울특별시 광진구 능동로 18 (자양동),브랜드,빈도 20·지점비율 75% ≥40% → 브랜드 확정,
올포유,20,0.50,,서울특별시 강북구 도봉로 259(수유동),브랜드,빈도 20·지점비율 50% ≥40% → 브랜드 확정,
민영활어공장,20,0.50,,서울특별시 마포구 포은로8길 21 (망원동),브랜드,빈도 20·지점비율 50% ≥40% → 브랜드 확정,
투다리,19,0.58,,서울특별시 성동구 아차산로7길 10-1(성수동2가),브랜드,빈도 19·지점비율 58% ≥40% → 브랜드 확정,
